cars are parked on the side of the road	['cars', 'side']	parked on the	['are parked on', 'are on the', 'parked on the', 'are parked on side', 'are lined on the', 'are on', 'on are', 'are sitting on', 'are standing on', 'are on front']		how are the cars
cars are parked on the side of the road	['cars', 'road']	parked on side	['on the side', 'are on the', 'parked on the', 'are lined on the', 'that are on the', 'on the', 'sitting on the', 'are parked on side', 'is sitting on the', 'sits on the']		how are the cars
there are two men conversing in the photo	['men', 'photo']	in the	['conversing in', 'in the', 'sitting in the', 'walking in the', 'standing in the', 'sits in the', 'parked in the', 'jumping in the', 'flying in the', 'chatting in']		how many men are in the picture
the men are on the sidewalk	['men', 'sidewalk']	on the	['are on the', 'that are on the', 'are lined on the', 'are on', 'on are', 'are on in', 'are the', 'is on the', 'that are on', 'on the']		how many men are on the sidewalk
the trees do not have leaves	['trees', 'leaves']	do not have	['do not have', 'not have', 'does not have', 'do not', 'does not have bent', 'do not touch', 'do not enter', 'cannot', 'dont have any', 'not all']		how many trees do you see
there is a big clock on the pole	['clock', 'pole']	on the	['on the', 'on the side', 'sitting on the', 'standing on the', 'pin on the', 'getting on the', 'landing on the', 'is on the', 'stand on the', 'laying on the']		how tall is the clock
a man dressed in a red shirt and black pants.	['man', 'red']	X	['dressed in', 'dressed in white', 'dressed in yellow', 'clad in', 'dressed in suits', 'in wearing', 'wearing in', 'dress in', 'dressed up in', 'dressed in really']		what color are the man's pants wearing the red shirt
a man dressed in a red shirt and black pants.	['man', 'shirt']	dressed in	['dressed in yellow', 'dressed in white', 'dressed in', 'in red', 'red in', 'in red jacket', 'clad in', 'in red hat', 'in red dress on', 'blue in']		what color are the man's pants wearing the red shirt
a man dressed in a red shirt and black pants.	['man', 'pants']	dressed in	['in black shirt', 'shirt black in', 'in white shirt', 'shirt white in', 'dressed in white', 'dressed in yellow', 'in blue shirt', 'wearing black in', 'in red jacket', 'wearing red shirt']		what color are the man's pants wearing the red shirt
a man dressed in a red shirt and black pants.	['shirt', 'black']	X	['black shirt', 'white shirt', 'black', 'shirt', 'black shirt man', 'in black shirt', 'shirt black in', 'black pants', 'shirt blue', 'white']		what color are the man's pants wearing the red shirt
a man dressed in a red shirt and black pants.	['shirt', 'pants']	X	['black', 'black shirt', 'black pants', 'wearing black pants', 'white', 'wearing black', 'black shorts', 'black dress', 'hat black', 'black uniform']		what color are the man's pants wearing the red shirt
a man dressed in a red shirt and black pants.	['pants', 'red']	X	['black shirt', 'white shirt', 'black shirt man', 'black', 'black pants', 'in black shirt', 'shirt black in', 'shirt', 'shirt blue', 'wears white shirt']		what color are the man's pants wearing the red shirt
trees are on the sidewalk	['trees', 'sidewalk']	on the	['are on the', 'that are on the', 'are lined on the', 'are on', 'on are', 'are on in', 'is on the', 'are the', 'that are on', 'on the']		what color are the trees
the man is in a red shirt	['man', 'red']	X	['is in', 'is in the', 'was in', 'is in womans', 'is seen in', 'is covered in', 'is in calfs', 'is skiing in', 'appears in', 'is']		what color is the building behind the man in the red shirt
the man is in a red shirt	['man', 'shirt']	dressed in	['is in', 'are red in', 'in red', 'red in', 'are in blue', 'is in the', 'in yellow', 'yellow in', 'is covered in', 'blue in']		what color is the building behind the man in the red shirt
white building is at the back	['building', 'back']	at the	['is at the', 'is at', 'is swinging at the', 'at the', 'is in the', 'is on the', 'is with the', 'is off the', 'is in', 'is behind the']		what color is the building closest to the men
building is painted white	['building', 'white']	painted	['are painted', 'is', 'painted', 'has painted', 'has white painted', 'was painted behind', 'are painted in', 'painted white', 'that painted', 'building painted']		what color is the building
the clock is green in colour	['clock', 'green']	color	['is', 'is for', 'is around', 'that is', 'is turning', 'is inside', 'is on', 'is in', 'is behind', 'is an']		what color is the clock
the clock is green in colour	['clock', 'colour']	X	['are green in', 'green in', 'in green', 'is in', 'leaves are green in', 'is in the', 'in green at', 'trees in background are green in', 'grasses are green in', 'with green leaves in its']		what color is the clock
the man to the left is wearing glasses	['man', 'left']	location	['the', 'in the', 'inside the', 'behind the', 'on the', 'over the', 'near the', 'with the', 'for the', 'beside the']		what color is the jumper the man is wearing
the man to the left is wearing glasses	['man', 'glasses']	wearing	['is behind the', 'is riding the', 'is wearing', 'is sitting on the', 'is watching the', 'is in the', 'is with the', 'is off the', 'on left wearing', 'wearing left']		what color is the jumper the man is wearing
a man in a gray hoodie	['man', 'gray']	in	['in', 'in man', 'man in', 'in in', 'gray in', 'in gray', 'man in blue', 'in woman', 'woman in', 'in white']		what color is the man's hoodie
a man in a gray hoodie	['man', 'hoodie']	wearing	['gray in', 'in gray', 'brown in', 'in brown', 'sky gray in', 'blue in', 'in blue', 'in white', 'white in', 'in beige']		what color is the man's hoodie
the man is in a red shirt	['man', 'red']	dressed in	['is in', 'is in the', 'was in', 'is in womans', 'is seen in', 'is covered in', 'is in calfs', 'is skiing in', 'appears in', 'is']		what color is the man's shirt
the man is in a red shirt	['man', 'shirt']	dressed in	['is in', 'are red in', 'in red', 'red in', 'are in blue', 'is in the', 'in yellow', 'yellow in', 'is covered in', 'blue in']		what color is the man's shirt
the man is in a grey hoodie	['man', 'hoodie']	wearing	['is in', 'is in the', 'is in womans', 'was in', 'is seen in', 'is in calfs', 'is covered in', 'is skiing in', 'appears in', 'are in']		what color is the right man's hoodie
the man to the left is wearing glasses	['man', 'left']	location	['the', 'in the', 'inside the', 'behind the', 'on the', 'over the', 'near the', 'with the', 'for the', 'beside the']		what color jacket is the man to the right wearing
the man to the left is wearing glasses	['man', 'glasses']	wearing	['is behind the', 'is riding the', 'is wearing', 'is sitting on the', 'is watching the', 'is in the', 'is with the', 'is off the', 'on left wearing', 'wearing left']		what color jacket is the man to the right wearing
the man is in a red shirt	['man', 'red']	dressed in	['is in', 'is in the', 'was in', 'is in womans', 'is seen in', 'is covered in', 'is in calfs', 'is skiing in', 'appears in', 'is']		what color shirt does the man in black pants have on
the man is in a red shirt	['man', 'shirt']	dressed in	['is in', 'are red in', 'in red', 'red in', 'are in blue', 'is in the', 'in yellow', 'yellow in', 'is covered in', 'blue in']		what color shirt does the man in black pants have on
the man wears a red t shirt	['man', 'red']	wears	['wears', 'wears red', 'wears blue', 'wears purple', 'wears white', 'wears brown', 'wears orange', 'wears pink', 'man wears black', 'woman wears']		what color shirt is the man wearing
the man wears a red t shirt	['man', 'shirt']	wears red	['wears red', 'wears blue', 'with red t shirt', 'wearing red', 'wears purple', 'wears gray', 'wearing red shirt', 'wears brown', 'wears orange', 'wears pink']		what color shirt is the man wearing
the man wears a red t shirt	['shirt', 'red']	color	['t', 't shirt', 'with red t shirt', 't shirt from', 't shirt has', 'going t', 'in white t shirt', 'touching t', 't shirt green in', 'holding t']		what color shirt is the man wearing
the man is in black pants	['man', 'black']	dressed in	['is in', 'is in the', 'was in', 'is in womans', 'is seen in', 'is in calfs', 'is covered in', 'is skiing in', 'appears in', 'is']		what color shoes does the man in red have on
the man is in black pants	['man', 'pants']	dressed in	['appears black in', 'is in', 'are black in', 'black in', 'in black', 'are white in', 'in white', 'white in', 'in black hat in', 'is in the']		what color shoes does the man in red have on
the man is in black pants	['man', 'black']	dressed in	['is in', 'is in the', 'was in', 'is in womans', 'is seen in', 'is in calfs', 'is covered in', 'is skiing in', 'appears in', 'is']		what color shoes is the man in the grey hoodie wearing
the man is in black pants	['man', 'pants']	dressed in	['appears black in', 'is in', 'are black in', 'black in', 'in black', 'are white in', 'in white', 'white in', 'in black hat in', 'is in the']		what color shoes is the man in the grey hoodie wearing
tree has no leaves	['tree', 'leaves']	has no	['has no', 'body has no', 'have no', 'has', 'no', 'mountain has no trees', 'has little', 'has plenty', 'has only', 'that has']		what has no leaves
the clock pole is green	['pole', 'green']	color	['is', 'is for', 'is in', 'that is', 'is around', 'is on', 'is inside', 'is standing', 'is beside', 'is an']		what is on the green pole
the man to the left is wearing glasses	['man', 'left']	location	['the', 'in the', 'inside the', 'behind the', 'on the', 'over the', 'near the', 'with the', 'for the', 'beside the']		what is on the man's face wearing the red shirt
the man to the left is wearing glasses	['man', 'glasses']	wearing	['is behind the', 'is riding the', 'is wearing', 'is sitting on the', 'is watching the', 'is in the', 'is with the', 'is off the', 'on left wearing', 'wearing left']		what is on the man's face wearing the red shirt
tree is casting a shadow on the sidewalk	['tree', 'shadow']	casting	['are casting', 'is', 'casting', 'casting shadow', 'casting in', 'casts', 'is turning', 'casting shadow on', 'casting shadows', 'is laying']		what is on the tree
tree is casting a shadow on the sidewalk	['tree', 'sidewalk']	on the	['is on the', 'casting shadow on', 'shadow being cast on', 'is sitting on the', 'casts shadow on', 'that is on the', 'is talking on the', 'is lying on the', 'casted on the', 'cast shadow on']		what is on the tree
vehicles parked on the street	['vehicles', 'street']	parked on the	['parked on the', 'on the', 'in parked on', 'on parked', 'parked on', 'sitting on the', 'parked in the', 'parked along the', 'walking on the', 'parked outside on']		what is parked on the street
building is made of bricks	['building', 'bricks']	made of	['made', 'is', 'was made for', 'has made', 'makes', 'made for', 'are making', 'makes no', 'that is', 'is for']		what is the building made of
sidewalk is made of bricks	['sidewalk', 'bricks']	made of	['is', 'was made for', 'made', 'has made', 'makes', 'made for', 'are making', 'makes no', 'is for', 'is taken']		what is the sidewalk made of
building is made of bricks	['building', 'bricks']	made of	['made', 'is', 'was made for', 'has made', 'makes', 'made for', 'are making', 'makes no', 'that is', 'is for']		what kind of material is the building closest made of
building is made of bricks	['building', 'bricks']	made of	['made', 'is', 'was made for', 'has made', 'makes', 'made for', 'are making', 'makes no', 'that is', 'is for']		what material is the building
the day was sunny	['day', 'sunny']	was	['was', 'was in', 'was on', 'that was', 'was left', 'was hitting', 'was out', 'was wearing', 'is', 'photograph was']		what time of day is it
the back of a white car	['back', 'white']	X	['back white in', 'back', 'white', 'has white back', 'black', 'on white', 'white on', 'behind white', 'white behind', 'white around']		when was the white sedan photographed in the foreground
cars are parked along the edge of the street	['cars', 'edge']	parked along the	['are parked along', 'parked along the', 'are along', 'are near the', 'are parked in', 'are parked on', 'are the', 'are walking along', 'are parked in front', 'are running along']		where are cars
cars are parked along the edge of the street	['cars', 'street']	parked along the	['are near the', 'parked along the', 'are in the', 'are on the', 'are standing in the', 'are the', 'are lined on the', 'are out in the', 'are built in the', 'parked in the']		where are cars
cars are parked along the edge of the street	['cars', 'edge']	parked along the	['are parked along', 'parked along the', 'are along', 'are near the', 'are parked in', 'are parked on', 'are the', 'are walking along', 'are parked in front', 'are running along']		where are the cars
cars are parked along the edge of the street	['cars', 'street']	parked along the	['are near the', 'parked along the', 'are in the', 'are on the', 'are standing in the', 'are the', 'are lined on the', 'are out in the', 'are built in the', 'parked in the']		where are the cars
cars are parked along the edge of the street	['cars', 'edge']	parked along the	['are parked along', 'parked along the', 'are along', 'are near the', 'are parked in', 'are parked on', 'are the', 'are walking along', 'are parked in front', 'are running along']		where are the cars parked
